Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Player_href,Weight,College,Height
2016-17,23,OKC,NBA,SG,68,6,1055,4.6,11.6,0.393,3.2,8.4,0.381,1.4,3.2,0.426,1.5,1.7,0.898,0.6,2.3,2.9,1.4,1.3,0.3,1.1,3.9,13.9,Álex Abrines,/players/a/abrinal01.html,200,None,78
2017-18,24,OKC,NBA,SG,75,8,1134,3.7,9.2,0.395,2.7,7,0.38,1,2.2,0.443,1.2,1.5,0.848,0.8,2.8,3.6,0.9,1.2,0.3,0.8,3.9,11.2,Álex Abrines,/players/a/abrinal01.html,200,None,78
2018-19,25,OKC,NBA,SG,31,2,588,3.4,9.6,0.357,2.5,7.8,0.323,0.9,1.8,0.5,0.7,0.8,0.923,0.3,2.6,2.9,1.2,1,0.4,0.9,3.2,10.1,Álex Abrines,/players/a/abrinal01.html,200,None,78
2020-21,21,MIA,NBA,PF,61,4,737,6.1,11.1,0.544,0,0,0,6.1,11.1,0.546,2.7,5.4,0.509,3.6,6.6,10.2,1.4,1,1.4,2.1,4.4,14.8,Precious Achiuwa,/players/a/achiupr01.html,225,Memphis,80
2016-17,26,TOT,NBA,PF,38,1,558,4.5,11,0.412,2.4,5.8,0.411,2.1,5.2,0.413,2.9,3.9,0.75,1.3,6.1,7.4,1.2,0.9,1,1.4,4.3,14.3,Quincy Acy,/players/a/acyqu01.html,240,Baylor,79
2017-18,27,BRK,NBA,PF,70,8,1359,3.4,9.7,0.356,2.7,7.7,0.349,0.7,1.9,0.384,1.3,1.6,0.817,1.1,5.7,6.8,1.5,0.9,0.8,1.6,3.9,10.9,Quincy Acy,/players/a/acyqu01.html,240,Baylor,79
2018-19,28,PHO,NBA,PF,10,0,123,1.2,5.3,0.222,0.6,4.4,0.133,0.6,0.9,0.667,2,2.9,0.7,0.9,6.4,7.3,2.3,0.3,1.2,1.2,7,5,Quincy Acy,/players/a/acyqu01.html,240,Baylor,79
2018-19,22,ATL,NBA,PG,34,1,428,3.2,9.3,0.345,2.1,6.2,0.338,1.1,3,0.361,0.6,0.8,0.778,0.9,4.1,5,5.5,1.2,0.4,2.4,3.8,9.1,Jaylen Adams,/players/a/adamsja01.html,225,St. Bonaventure,72
2020-21,24,MIL,NBA,PG,7,0,18,2,16,0.125,0,4,0,2,12,0.167,0,0,0,0,6,6,4,0,0,0,2,4,Jaylen Adams,/players/a/adamsja01.html,225,St. Bonaventure,72
2016-17,23,OKC,NBA,C,80,80,2389,5.6,9.9,0.571,0,0,0,5.6,9.9,0.572,2.4,3.9,0.611,4.2,5,9.2,1.3,1.3,1.2,2.2,2.9,13.6,Steven Adams,/players/a/adamsst01.html,265,Pitt,83
