Season,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_href,Weight,College,Height,Lg
2017-18,DEL,43,40,1127,3,8,0.369,1.7,5.3,0.315,1.3,2.8,0.471,0.9,1.1,0.8,0.5,2,2.5,2.9,1.1,0.2,2.1,3.7,8.5,/gleague/players/a/abbotty01d.html,209,None,75,G-League
2018-19,CAN,49,5,986,4,9.5,0.418,2.2,6.1,0.355,1.8,3.5,0.526,1.4,2.1,0.655,0.8,2.5,3.3,2.7,0.9,0.2,1.2,2.7,11.5,/gleague/players/a/abdurmu01d.html,190,None,76,G-League
2019-20,CAN,42,9,893,3.8,9.2,0.415,1.8,4.9,0.364,2.1,4.4,0.472,1.6,1.9,0.851,1.2,3.1,4.4,3.2,1.2,0.3,1.2,2.5,12.2,/gleague/players/a/abdurmu01d.html,190,None,76,G-League
2016-17,TEX,12,12,383,6.4,12.8,0.5,1.5,3.9,0.39,4.9,8.9,0.547,5.2,6.8,0.764,1.7,7.5,9.2,1.3,1.8,2.3,3.1,3.9,19.5,/gleague/players/a/acyqu01d.html,233,Baylor,79,G-League
2018-19,TEX,3,3,100,9,19.4,0.463,2.5,7.2,0.35,6.5,12.2,0.529,2.9,4.7,0.615,1.4,6.8,8.3,1.4,1.1,1.8,1.4,4.3,23.4,/gleague/players/a/acyqu01d.html,233,Baylor,79,G-League
2018-19,HAW,20,20,633,5.5,13.9,0.396,2.6,7.8,0.336,2.9,6.1,0.472,2.4,3.1,0.764,1,4.2,5.1,6.7,1.9,0.3,3,3.2,16,/gleague/players/a/adamsja01d.html,225,St. Bonaventure,72,G-League
2019-20,WIS,34,32,1079,8.3,17.1,0.486,2.9,7.2,0.405,5.4,10,0.545,3,3.8,0.788,1.1,4.5,5.6,6.3,2,0.3,4.2,2.9,23.7,/gleague/players/a/adamsja01d.html,225,St. Bonaventure,72,G-League
2019-20,EBH,40,24,1326,8,16.2,0.493,2.7,6.9,0.394,5.3,9.3,0.567,1.5,1.8,0.831,0.9,3.4,4.2,5,1.4,0.5,3.3,1.7,20.6,/gleague/players/a/adamsja02d.html,195,UConn,75,G-League
2020-21,EBH,14,14,408,7.1,14.8,0.482,3,7.5,0.4,4.1,7.3,0.566,1.8,1.9,0.909,0.9,5,5.9,5,1.7,0.5,3.7,2.6,19.9,/gleague/players/a/adamsja02d.html,195,UConn,75,G-League
2018-19,RIO,2,0,7,5.1,10.3,0.5,5.1,10.3,0.5,0,0,0,0,0,0,0,5.1,5.1,10.3,10.3,0,5.1,10.3,15.4,/gleague/players/a/adamsjo01d.html,220,UCLA,77,G-League
2018-19,RAP,20,11,598,6.7,16.6,0.404,2.6,7.1,0.364,4.1,9.5,0.433,2.8,3.7,0.758,0.5,4.7,5.2,5.3,1.3,0.7,3.6,3.2,18.8,/gleague/players/a/adamsjo02d.html,NA,None,NA,G-League
2018-19,TOT,37,36,1143,5.6,12.9,0.436,1.3,4,0.323,4.3,8.9,0.488,2.3,3,0.779,0.9,5.6,6.6,2.9,0.8,0.5,2.3,1.7,14.8,/gleague/players/a/adelde01d.html,200,Louisville,79,G-League
2019-20,LIN,28,13,663,5.8,12.1,0.477,1,3.4,0.306,4.7,8.7,0.544,2.6,3.3,0.787,1,5.5,6.5,4,0.9,0.5,3.5,1.9,17.3,/gleague/players/a/adelde01d.html,200,Louisville,79,G-League
2017-18,MAI,41,12,713,3.7,9.7,0.383,2.4,7.2,0.338,1.3,2.6,0.51,0.6,0.8,0.75,0.9,4.8,5.7,1.3,0.4,0.2,1.1,1.9,10.5,/gleague/players/a/adeyejo01d.html,220,None,77,G-League
